hour,da_lmp,rt_lmp,tmnsr_price,tmnsr_strike
0,50.3,57.43,11.33,62.6
1,48.19,60.59,9.25,59.55
2,44.94,94.02,5.22,57.05
3,42.66,56.57,5.4,57.19
4,41.23,49.51,5.72,57.69
5,43.04,61.63,6.34,58.43
6,50.31,74.97,10.84,59.88
7,55.0,44.57,13.77,61.32
8,65.57,58.2,24.71,62.9
9,65.73,41.28,25.79,61.91
10,68.81,69.42,16.98,55.42
11,85.03,73.21,33.74,57.95
12,126.43,103.42,66.7,68.45
13,174.31,110.4,123.88,75.13
14,200.18,128.09,147.89,82.21
15,300.0,183.69,237.16,91.37
16,343.18,334.4,289.58,99.8
17,418.31,741.3,369.64,109.45
18,474.9,1110.22,429.47,114.39
19,407.24,1073.63,363.18,116.39
20,315.88,853.4,263.53,110.37
21,187.58,261.93,159.98,101.76
22,101.91,64.91,73.12,84.89
23,50.79,52.35,34.52,74.18
